,Date,Temp,Rain,Month,Year
353,20/12/1961,15.6,3.5,12,1961
354,21/12/1961,16.2,2.5,12,1961
355,22/12/1961,17.2,0,12,1961
356,23/12/1961,18.8,0.6,12,1961
357,24/12/1961,18.2,0,12,1961
358,25/12/1961,17.2,0,12,1961
359,26/12/1961,18.4,0,12,1961
360,27/12/1961,18.2,0,12,1961
361,28/12/1961,21.4,0,12,1961
362,29/12/1961,19.8,0,12,1961
363,30/12/1961,20.4,0,12,1961
364,31/12/1961,20,0,12,1961
365,01/01/1963,25.4,0,1,1963
366,02/01/1963,22.6,0,1,1963
367,03/01/1963,20.8,0,1,1963
368,04/01/1963,17.4,12.5,1,1963
369,05/01/1963,19.4,0,1,1963
370,06/01/1963,26.2,0,1,1963
371,07/01/1963,19,4.5,1,1963
372,08/01/1963,17.4,0,1,1963
373,09/01/1963,21.8,0,1,1963
374,10/01/1963,19.4,0,1,1963
375,11/01/1963,21,0,1,1963
376,12/01/1963,20.6,0,1,1963
377,13/01/1963,19,0,1,1963
378,14/01/1963,22.4,0,1,1963
379,15/01/1963,23.4,0,1,1963
380,16/01/1963,23,0.1,1,1963
381,17/01/1963,25.5,0,1,1963
382,18/01/1963,22.4,0,1,1963
383,19/01/1963,25.8,0,1,1963
384,20/01/1963,23.4,0,1,1963
385,21/01/1963,22.2,0,1,1963
386,22/01/1963,22.2,0,1,1963
387,23/01/1963,19.2,0,1,1963
388,24/01/1963,18,0,1,1963
389,25/01/1963,20.8,0,1,1963
390,26/01/1963,21.2,0,1,1963
391,27/01/1963,17.6,0,1,1963
392,28/01/1963,22,0,1,1963
393,29/01/1963,19.8,0,1,1963
394,30/01/1963,18.8,0,1,1963
395,31/01/1963,19.2,2.5,1,1963
396,01/02/1963,18.8,0,2,1963
397,02/02/1963,19.2,0,2,1963
398,03/02/1963,21.2,0,2,1963
399,04/02/1963,22.8,0,2,1963
400,05/02/1963,22.4,0,2,1963
401,06/02/1963,20.2,0,2,1963
402,07/02/1963,21,0,2,1963
403,08/02/1963,18.2,3,2,1963
404,09/02/1963,18,0,2,1963
