,species,family_GM,resprout_postfire,herb,geophyte,graminoid,low_shrub,tall_shrub
1706,Thesidium hirtum,SANTALACEAE,0,0,0,0,1,0
1707,Thesium acuminatum,SANTALACEAE,1,0,0,0,1,0
1710,Thesium carinatum,SANTALACEAE,0,0,0,0,1,0
1717,Thesium nigromontanum,SANTALACEAE,0,0,0,0,1,0
1719,Thesium pseudovirgatum,SANTALACEAE,0,0,0,0,1,0
1721,Thesium schumannianum,SANTALACEAE,0,0,0,0,1,0
1722,Thesium spicatum,SANTALACEAE,0,0,0,0,1,0
1724,Thesium strictum,SANTALACEAE,0,0,0,0,0,1
1727,Thesium virgatum,SANTALACEAE,0,0,0,0,1,0
1728,Thesium viridifolium,SANTALACEAE,0,0,0,0,1,0
1730,Trachyandra hirsutiflora,ASPHODELACEAE,1,0,1,0,0,0
1732,Trachyandra tabularis,ASPHODELACEAE,1,0,1,0,0,0
1736,Tribolium uniolae,POACEAE,1,0,0,1,0,0
1737,Trichocephalus stipularis,RHAMNACEAE,1,0,0,0,1,0
1752,Ursinia paleacea,ASTERACEAE,0,0,0,0,1,0
1759,Ursinia tenuifolia,ASTERACEAE,0,0,0,0,1,0
1763,Vellereophyton dealbatum,ASTERACEAE,1,1,0,0,0,0
1769,Wachendorfia paniculata,HAEMODORACEAE,1,0,1,0,0,0
1784,Watsonia meriana,IRIDACEAE,1,0,1,0,0,0
1786,Watsonia tabularis,IRIDACEAE,1,0,1,0,0,0
1793,Willdenowia glomerata,RESTIONACEAE,0,0,0,1,0,0
1794,Willdenowia humilis,RESTIONACEAE,1,0,0,1,0,0
1795,Willdenowia incurvata,RESTIONACEAE,1,0,0,1,0,0
1798,Willdenowia teres,RESTIONACEAE,1,0,0,1,0,0
3,Ficinia ecklonea,CYPERACEAE,1,0,0,1,0,0
41,Lampranthus austricolus,AIZOACEAE,0,0,0,0,1,0
8,Searsia lucens,ANACARDIACEAE,1,0,0,0,0,1
9,Selago luxurians,SCROPHULARIACEAE,0,1,0,0,0,0
12,Wahlenbergia pyrophila,CAMPANULACEAE,0,0,0,0,1,0
13,Wahlenbergia longifolia,CAMPANULACEAE,0,0,0,0,1,0
